F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,class
159.51,157.43,157.24,143.41,130.62,159.7,158.37,146.27,3.5,3.27,1.61,2.08,12.25,1.81,57.94,63.71,-47.28,-25.92,-15.18,-10.98,52.72,79.71,59.69,85.16,139.12,135604969.7,0
160.21,157.76,157.35,143.98,130.74,159.36,158.42,146.75,3.14,2.4,4.96,1.96,11.9,1.26,57.94,62.55,-47.28,-30.14,-15.18,-12.37,52.72,64.54,26.24,76.72,128.78,133149211.1,0
162.1,158.63,158.16,144.76,130.91,161.23,159.61,147.47,0.33,9.42,9.58,1.95,11.34,1.11,64.78,64.56,-7.88,-5.14,-2.64,-8.08,92.12,65.85,133.79,103.84,151.09,136855574.7,1
163,159.99,159.14,145.61,131.1,163.86,161.34,148.32,5.57,16.1,8.26,1.78,10.93,1.3,68.43,66.28,-5.54,-3.91,-2.17,-4.32,94.46,79.77,154.01,116.48,159.32,145352764.8,1
164.09,161.58,159.72,146.5,131.28,165.57,162.74,149.13,10.33,12.52,13.6,2.03,10.5,1.5,68.19,66.44,-14.52,-11.14,-6.01,-4.52,85.48,90.69,155.09,126.77,164.7,150163473.6,0
166.34,162.93,160.76,147.38,131.48,167.03,164.05,149.94,11.28,14.78,13.68,2.36,10.11,1.34,69.04,65.61,-9.91,-8,-4.1,-3.08,90.09,90.01,117.16,121.47,157.17,147211457.3,1
168.11,164.16,161.56,148.15,131.68,167.19,164.68,150.63,2.54,11.98,11.96,2.64,9.71,1.52,64.3,63.3,-21.76,-18.18,-9.01,-6.77,78.24,84.6,83.05,108.67,145.01,149503457.3,0
168.49,165.29,162.37,148.89,131.87,167.07,165.07,151.27,-2.29,2.2,13.81,3.12,9.51,1.67,63.02,61.13,-25.01,-22.5,-10.35,-7.78,74.99,81.11,59.78,99.88,135.59,147647912.1,0
167.71,165.35,163.24,149.65,132.06,166.46,165.1,151.82,-3.77,1.67,8.75,3.32,9.13,2.13,59.94,60.23,-32.83,-29.53,-13.59,-10.21,67.17,73.47,43.71,94.3,128.93,147851400.5,0
166.42,165.26,163.68,150.34,132.23,165.17,164.64,152.24,-7.37,3.91,7.41,3.82,8.42,2.64,55.16,57.42,-51.87,-44.77,-18.92,-14.22,48.13,63.43,-13.44,73.95,112.02,143796522.5,0
165.35,165.85,164.35,151.1,132.42,164.98,164.64,152.72,-2.9,5.94,9.08,4.32,8,2.98,57.93,58.01,-41.55,-35.84,-14.84,-11.15,58.45,57.91,5.84,82.57,115.93,142487895,1
165.55,166.83,165.27,151.98,132.63,166.14,165.33,153.34,1.63,3.5,3.83,4.27,7.67,3.49,62.65,55.57,-22.83,-17.1,-7.08,-6.08,77.17,61.25,28.55,91.76,119.73,142298127.6,1
165.96,167.23,165.58,152.82,132.84,167.07,165.99,153.95,3.7,-0.2,5.37,4.3,7.57,3.91,63.18,56.98,-22.56,-17.04,-7.16,-5.39,77.44,71.02,103.19,112.57,129.97,149370279.5,0
167.07,167.39,166.1,153.74,133.09,168.3,166.86,154.61,8.19,1.77,12.1,4.71,7.71,3.64,65.31,57.9,-11.03,-8.33,-3.5,-3.61,88.97,81.2,98.49,114.01,127.69,145490037.3,1
168.95,167.69,167.05,154.65,133.35,169.53,167.79,155.29,7.38,2.04,13.32,5.03,7.79,3.54,66.68,59.21,-7.28,-5.55,-2.39,-1.8,92.72,86.38,109.27,118.56,127.73,147915854.3,1
170.09,167.72,167.88,155.58,133.6,169.78,168.24,155.88,1.8,2.76,5.3,4.86,7.85,3.93,62.9,59.39,-24.6,-13.44,-5.78,-4.59,75.4,85.7,87.79,113.04,122.36,149716759.3,0
171.06,168.3,168.47,156.55,133.86,170.96,169.17,156.56,4.4,6.49,4.2,4.71,8.03,4.19,66.53,64.01,-0.34,-0.18,-0.08,-0.06,99.66,89.26,105.14,120.72,123.35,147499357.3,1
171.35,168.66,168.56,157.31,134.08,170.76,169.39,157.1,-0.4,5.14,1.37,4.24,7.66,3.99,60.37,60.5,-25.32,-13.65,-7.26,-4.44,74.68,83.25,59.27,107.79,114.99,153084205.8,0
170.33,168.7,168.32,157.92,134.28,169.07,168.71,157.44,-6.31,3.1,-4.27,3.55,7.26,3.35,52.14,53.41,-64.89,-35,-20.83,-11.38,35.11,69.82,-28.67,78.21,100.55,151094053.7,0
167.71,168.33,167.53,158.32,134.48,165.68,166.93,157.5,-11.37,-5.71,-8.61,2.76,6.96,2.45,43.01,52.44,-97.7,-65.86,-39.19,-21.41,2.3,37.36,-162.93,22.63,75.59,143402024.7,0
165.21,167.65,166.84,158.73,134.68,163.05,165.26,157.51,-15.55,-10.69,-9.06,1.88,6.65,1.58,41.71,51.05,-93.92,-70.96,-42.23,-23.07,6.08,14.5,-169.35,-2.21,65.31,137489992.3,0
162.22,166.64,166.23,159.11,134.87,161.48,164.01,157.54,-12.02,-10.58,-6.88,1.28,6.01,0.84,42.66,51.95,-90.48,-68.37,-44.03,-22.23,9.52,5.97,-125.62,-1.9,65.51,135170282.2,1
160.98,166.16,166.16,159.59,135.12,162.38,164.04,157.8,-1.51,-6.6,1.59,1.05,5.39,0.32,51.37,57.4,-55.42,-41.88,-27.6,-13.62,44.58,20.06,-46.41,37.57,79.93,131960888.3,1
160.8,165.57,166.32,160.04,135.35,163.19,164.18,158.08,5.92,-7.17,0.21,0.71,4.81,0.29,52.24,55.76,-51.51,-43.8,-28.68,-12.65,48.49,34.2,-35.17,43.93,81.66,134689057.3,1
163.1,165.41,166.73,160.54,135.62,165.59,165.31,158.56,12.61,0.12,1.92,0.64,4.41,0.53,59.03,59.92,-17.95,-15.57,-10,-4.41,82.05,58.37,32.63,86.9,96.3,139866499.1,1
165.19,165.2,166.71,160.99,135.87,166.46,165.83,158.94,9.85,-5.13,-0.73,0.4,4.06,0.39,55.68,58.07,-31.14,-30.77,-17.34,-13.44,68.86,66.47,8.38,69.02,89.25,145851249.1,0
168.97,165.59,167.31,161.63,136.17,170.06,167.91,159.65,13.08,6.88,6.48,0.19,4.04,0.23,64.61,58.03,-3.03,-3,-1.96,-1.56,96.97,82.62,130.53,154.2,118.25,152982084.5,1
171.63,166.3,167.79,162.22,136.46,172.54,169.65,160.35,12.68,11.82,5.51,-0.11,4.14,0.3,64.82,58.98,-4.07,-4.03,-2.76,-5.71,95.93,87.25,135.28,166,122.8,156392713.4,1
174.57,167.69,168.32,162.84,136.76,174.85,171.44,161.1,9.1,20.59,9.22,0.04,4.61,0.47,66.54,63.93,-9.37,-9.3,-6.81,-3.09,90.63,94.51,142.15,180.67,128.9,158402623.3,0
175.57,169.34,168.69,163.32,137.05,175.04,172.16,161.66,7.2,17.62,2.07,-0.05,4.82,0.44,60.07,60.61,-25.69,-25.69,-19.67,-8.47,74.31,86.96,85.85,136.24,113.2,157720866.9,0
177.24,171.21,168.92,163.84,137.35,175.54,172.96,162.25,-0.7,18.2,6.18,0.14,4.87,0.6,61.21,57.86,-21.1,-21.1,-16.16,-6.96,78.9,81.28,91.7,143.19,115.92,154005152.6,0
177.09,173.03,169.36,164.33,137.64,175.87,173.61,162.81,-0.97,12.36,10.85,0.72,4.88,0.45,61.18,55.32,-21.18,-21.18,-17.2,-6.98,78.82,77.34,67.45,124.19,108.91,150300694.7,0
176.73,174.18,170.07,164.79,137.93,175.81,173.99,163.31,-3.81,10.86,16.78,1.7,4.73,0.45,59.72,54.75,-24.57,-24.57,-20.24,-8.1,75.43,77.72,51.88,112.32,104.81,152651374.6,1
176.44,175.5,171.44,165.14,138.23,176.55,174.72,163.89,2.65,7.66,20.27,2.83,4.5,0.76,62.41,55.65,-15.12,-15.12,-12.45,-4.98,84.88,79.71,57.6,124.02,109.1,154843119.3,1
176.72,176.14,172.8,165.48,138.53,176.63,175.1,164.4,0.22,8.57,18.42,3.8,4.37,1.39,60.07,56.57,-20.87,-20.22,-16.66,-6.67,79.13,79.81,64.69,131.77,111.93,158915077.5,0
176.66,176.95,174.08,165.81,138.81,176.51,175.31,164.86,-0.24,-0.96,12.12,4.2,4.18,2.15,59.18,56.72,-26.3,-22.14,-18.23,-7.3,73.7,79.24,37.73,108.47,103.85,155480383.7,0
176.33,176.71,174.84,166.13,139.09,175.96,175.23,165.25,-0.83,-2.65,10.03,4.58,3.99,3,56.46,56.86,-36.79,-27.88,-22.96,-9.19,63.21,72.01,15.21,94.11,98.8,154278762,0
176.32,176.52,175.61,166.5,139.38,175.85,175.3,165.66,-2.43,-3.87,5.23,4.71,4.08,3.49,57.58,59.55,-36.12,-24.81,-20.43,-8.18,63.88,66.93,-20.11,84.59,95.12,152448205.2,1
175.56,176,175.89,166.91,139.63,175.31,175.11,166,-2.52,-1.15,6.05,4.97,4.47,3.98,54.87,57.13,-44.08,-30.28,-24.93,-9.98,55.92,61,-24.33,86.01,95.15,155585386.7,0
174.99,175.85,176.3,167.29,139.87,174.86,174.9,166.31,-2.35,-2.61,-3.31,4.59,4.86,4.14,54.25,54.27,-76.62,-31.51,-25.95,-11.73,23.38,47.73,-121.11,72.98,90.16,152806930.6,0
174.85,175.76,176.18,167.58,140.12,175.09,175.02,166.67,0.72,-0.96,-1.93,4.31,5.34,4.42,57.01,55.09,-71.66,-25.01,-20.6,-9.31,28.34,35.88,-7.78,88.87,96.09,150692548.6,1
175.48,175.91,176.22,168.03,140.37,176.08,175.57,167.12,2.42,2.36,-1.45,3.9,5.56,4.28,60.86,55.52,-43.43,-15.16,-12.48,-5.64,56.57,36.1,57.4,96.02,99.26,149588297.2,1
175.88,176.1,176.08,168.46,140.61,176.58,175.93,167.53,3.33,-0.47,2.18,3.9,5.75,4,59.79,54.29,-46.42,-16.99,-13.99,-9.21,53.58,46.16,125.41,97.58,100.91,153378910.7,0
177.68,176.62,176.64,169.01,140.88,178.81,177.27,168.14,9.35,6.52,6.74,3.92,6.01,3.55,67.47,59.42,-6.34,-2.54,-2.12,-3.32,93.66,67.94,259,133.72,116.14,150297176.6,1
179.85,177.42,177.23,169.65,141.16,180.79,178.63,168.8,9.18,8.46,8.22,3.82,6.41,3.14,69.1,58.46,-7.17,-3.12,-2.63,-1.32,92.83,80.03,242.88,154.06,125.69,154220004.9,1
181.68,178.27,177.82,170.21,141.43,182.12,179.75,169.42,6.72,9.91,9.08,3.53,6.23,2.61,69.11,61.15,-7.09,-3.08,-2.8,-1.35,92.91,93.14,180.35,155.01,126.19,155277381.9,0
182.59,179.04,178.31,170.76,141.67,182.27,180.26,169.94,5.01,6.97,4.54,2.92,5.96,2.04,63.63,63.63,-24.36,-10.6,-9.74,-4.83,75.64,87.13,110.37,132.44,117.82,155177083.4,0
183.51,179.69,178.6,171.29,141.92,182.23,180.6,170.42,-1.15,7.89,5.37,2.42,5.72,1.75,62.52,70.86,-27.95,-12.15,-12.07,-5.54,72.05,80.2,69.47,115.29,110.91,153946500.9,1
183.07,180.38,178.91,171.62,142.17,181.85,180.69,170.83,-3.66,7.15,4.8,2.14,5.75,1.31,59.9,70.95,-36.31,-16.23,-15.68,-7.19,63.69,70.46,53.26,108.46,108.28,154454381.9,0
182.79,181.32,179.42,172.02,142.43,182.36,181.18,171.33,-1.39,7.8,8.52,2.08,5.79,1.23,63.48,71.82,-18.15,-9.15,-7.84,-3.6,81.85,72.53,62.48,114.22,111.47,151479498.2,1
182.39,182.04,179.98,172.5,142.69,182.49,181.46,171.77,0.16,4.71,7.13,2.15,5.84,1.08,61.86,67.82,-23.09,-12.71,-9.97,-4.57,76.91,74.15,65.28,116.09,112.82,152464472.8,0
181.87,182.23,180.29,172.93,142.92,181.66,181.2,172.1,-2.14,2.42,5.75,2.14,5.79,1.31,55.16,63.99,-44.98,-26.87,-19.56,-9.41,55.02,71.26,6.78,84.59,99.39,149014472.8,0
182.29,182.9,181.01,173.31,143.19,182.51,181.75,172.57,3.13,0.93,10.28,2.66,5.72,1.61,61.97,63.07,-13.79,-8.33,-6.09,-5.32,86.21,72.71,69.61,115.99,112.27,145556659.2,1
183.07,183.07,181.8,173.63,143.47,183.34,182.34,173.06,1.64,0.26,9.44,3.1,5.72,2.11,63.1,66.32,-19.06,-16.64,-8.7,-4.11,80.94,74.05,111.49,129.72,118.32,146848287.6,0
